parity,blood_calcium,blood_phosphorus,bcs,days_to_calving,milk_yield_day1,activity_level,dcad,stage
7,3.5,8.39205837928856,2.9,9,17.979635814392825,36.50148368561453,-57.80751121235314,Critical
4,6.433598164141679,5.765789947934073,2.4,5,17.793701736749696,60.375515782972826,-184.6705706434261,Mild
5,10.170130540315109,5.525536524524876,2.4,16,21.748727377191734,58.74214200250184,-179.0694588963952,Subclinical
7,8.617643091830372,6.564078831465451,4.1,17,7.925493837466959,62.76849227355013,-49.386144534279495,Mild
3,10.382974646816985,4.719000729244044,3.9,4,19.67163527276752,34.45496224989742,-156.01257241582096,Mild
5,5.962730944161148,5.502215146277207,4.3,17,16.550093227816802,22.976376023768537,118.40693114676016,Critical
5,5.049086718204698,5.5676035441745455,4.8,16,13.80749691808024,67.51182605013119,-214.92184896898,Critical
7,8.832587394765573,4.88542512118224,4.1,15,14.287566111152003,84.69283723753016,-114.01402389312832,Mild
2,8.432040927833084,6.939565695023097,2.5,7,16.92731167741018,34.47292755220208,-48.66393061859597,Mild
3,8.549997776679065,5.237614706204915,2.7,12,0.0,86.78882567123397,-79.21063502366276,Subclinical
7,9.679393956771024,3.6362415359574047,4.5,15,14.49355214604225,60.67822117472762,-138.3316365331135,Mild
3,8.759032863042068,5.138203163774952,2.6,10,13.620925876768531,54.85874190898341,-126.63422715962145,Subclinical
3,8.730111667652682,5.799014406056677,2.2,5,20.66391604661312,47.04902606908444,-129.2523261999391,Subclinical
5,9.287012624842053,4.42780811933487,4.1,2,13.972366587447397,27.309639611500067,-72.93773558560503,Moderate
4,8.904349937936649,4.522486248195474,3.2,0,16.92443099914755,74.754570318492,106.1543271613939,Mild
3,9.543402677091333,4.844489154248751,4.8,17,25.71138313830651,39.487872771247936,-43.76501627534322,Mild
6,9.815337484601448,6.965482792080353,4.0,4,22.971757599077115,39.403866485248,44.63203915100192,Moderate
5,10.757039842233649,4.915410372825153,2.3,12,22.511356999717265,74.8385261977391,-9.441892333748669,Subclinical
2,6.831455615173377,7.214940422261237,4.8,9,15.50063784794574,17.34033106656547,39.10899183857764,Critical
4,8.865011793339345,4.7620594742219975,2.8,4,20.715161396448263,24.528043786636665,-273.9971442074869,Mild
6,7.333417936524866,5.8900169635078505,3.0,13,16.83051099773203,54.63731512983836,-74.35664169185836,Mild
6,6.49959382289732,4.964508790936298,3.2,16,17.01953394661531,60.86568858009704,54.57083385205709,Moderate
2,6.758827422055341,6.404899804348567,2.2,0,20.04842671873275,64.69469295937847,-95.7388658199467,Mild
4,8.890919931610746,4.158071014521665,3.5,1,15.015032057895338,48.96403013207495,90.99785318956896,Moderate
5,8.752854598614801,6.391431375492678,2.4,6,25.465015522216017,100.0,68.71121230142093,Mild
1,8.720741652629187,5.63664328037162,3.2,9,17.199349302010315,50.44214882468332,-87.53045729019699,Subclinical
4,7.5937154343752,4.732009819867061,3.1,19,21.091802831298324,50.38427695794556,-90.25308152370854,Mild
2,8.00614655212114,5.30053421834782,4.3,6,25.27800239628649,39.06026662372245,-131.08846738835751,Mild
6,9.47195485257689,7.34062592923861,4.4,15,23.15826887287588,57.47813633042142,-100.3675385491038,Mild
5,5.319092492631249,5.66541340585694,2.5,4,10.955404486547376,67.29922464093549,-148.60712513351322,Moderate
4,8.044355777171452,4.656726380904834,3.1,11,20.22447947504942,79.0715610906692,-15.695105565359556,Mild
1,8.16192106662822,4.054368060606265,3.1,16,22.253596972303235,25.21431471119564,-166.48371946771468,Mild
1,9.35594768433977,6.106485128117196,2.5,15,22.459315110803743,50.08009323288599,-1.7013587047822585,Subclinical
3,5.569552858502915,5.735014296412823,4.4,19,12.433525829426843,63.93407221618288,0.2462957520198898,Critical
3,10.691240741931342,6.334024834105868,4.1,15,14.71482381491338,66.74115069189071,-182.89635241471385,Subclinical
7,8.384534763971319,3.7453303123721895,2.6,18,22.972791178708107,55.13097315609078,73.98548850626716,Mild
2,8.479844984050885,4.0932874565302,3.1,14,14.191198146586771,65.84847939064204,-8.911256446782254,Subclinical
4,7.277516436801992,6.876255039102279,2.3,11,16.50151971667843,38.82072214148399,9.975841715589516,Moderate
4,8.968440238634319,5.897609976135208,3.9,20,25.879379047509847,86.15810864636714,-110.6932161234218,Mild
