cow_id,parity,blood_calcium_mg_dl,blood_phosphorus_mg_dl,body_condition_score,days_to_calving,milk_yield_day1_kg,activity_level_score,dietary_cation_anion_difference,feed_intake_kg_day,rumination_minutes_day,behavioral_pattern,emergency_vet_required,stage
COW-1000,1,6.67,6.7,3.6,22,11.1,3.5,-9.8,12.8,265.4,Reduced movement,No,Mild
COW-1001,1,7.79,5.25,2.8,-5,36.6,6.4,-6.2,18.5,412.9,Muscle tremors,No,Subclinical
COW-1002,3,8.93,4.79,3.0,11,38.2,9.3,25.1,18.7,507.0,Unable to stand,No,Normal
COW-1003,7,8.66,4.81,2.6,-1,11.6,7.9,-2.5,22.4,582.8,Lethargic,No,Normal
COW-1004,4,4.71,3.81,3.1,12,34.6,1.1,22.6,6.7,180.1,Normal movement,Yes,Critical
COW-1005,3,6.48,7.63,4.1,9,34.0,3.5,31.4,14.8,290.5,Normal movement,No,Mild
COW-1006,1,10.11,5.84,4.2,8,32.9,8.2,6.8,18.5,587.0,Muscle tremors,No,Normal
COW-1007,3,8.99,7.49,3.2,9,44.9,8.7,-7.4,19.8,537.7,Muscle tremors,No,Normal
COW-1008,1,10.22,5.98,3.2,24,28.5,7.5,38.4,19.1,552.1,Normal movement,No,Normal
COW-1009,2,6.61,3.56,3.3,24,10.1,4.1,24.7,13.6,346.1,Lethargic,No,Mild
COW-1010,3,4.21,5.54,2.6,18,36.7,0.7,14.7,7.8,181.0,Unable to stand,Yes,Critical
COW-1011,6,5.44,7.03,2.7,10,40.7,2.2,37.1,10.5,298.2,Normal movement,Yes,Moderate
COW-1012,2,6.88,7.73,2.5,28,40.5,4.1,8.3,12.8,349.0,Reduced movement,No,Mild
COW-1013,4,5.64,7.5,3.4,10,17.9,2.8,3.6,12.7,224.8,Unable to stand,Yes,Moderate
COW-1014,4,7.01,3.16,3.0,27,18.3,6.4,21.8,15.3,360.1,Reduced movement,No,Subclinical
COW-1015,8,7.34,6.29,3.1,21,26.3,5.9,25.1,17.0,364.1,Normal movement,No,Subclinical
COW-1016,6,10.1,3.7,2.6,24,18.7,7.3,35.8,19.3,530.4,Muscle tremors,No,Normal
COW-1017,2,5.05,7.63,4.5,5,24.2,4.0,11.5,13.9,296.3,Muscle tremors,Yes,Moderate
COW-1018,3,5.34,5.28,3.3,30,33.2,4.0,11.8,9.9,274.1,Reduced movement,Yes,Moderate
COW-1019,1,9.66,5.92,3.5,28,15.5,8.6,37.8,23.2,458.6,Normal movement,No,Normal
COW-1020,2,5.54,7.45,2.7,-3,31.7,3.4,8.1,9.6,194.4,Unable to stand,Yes,Moderate
COW-1021,6,8.31,4.98,4.0,14,26.0,5.4,36.1,18.6,385.8,Normal movement,No,Subclinical
COW-1022,2,8.65,7.4,4.6,18,20.0,7.6,9.1,19.9,590.0,Unable to stand,No,Normal
COW-1023,1,6.6,7.39,2.8,1,36.0,4.1,-6.5,17.6,265.5,Lethargic,No,Mild
COW-1024,6,6.18,7.53,4.5,0,32.2,4.3,30.6,13.6,323.3,Normal movement,No,Mild
COW-1025,3,9.77,5.14,2.0,-1,43.1,7.8,23.0,23.2,532.8,Reduced movement,No,Normal
COW-1026,6,7.82,7.49,4.4,-3,41.5,5.3,-3.4,15.6,396.2,Reduced movement,No,Subclinical
COW-1027,6,6.7,3.77,4.8,5,44.2,4.8,29.6,14.4,343.1,Muscle tremors,No,Mild
COW-1028,6,10.06,4.24,2.5,1,23.4,8.2,-12.9,22.7,560.3,Muscle tremors,No,Normal
COW-1029,8,9.2,6.3,3.2,12,40.3,9.5,38.2,24.1,483.4,Lethargic,No,Normal
COW-1030,7,7.95,7.39,2.8,11,11.3,6.7,17.8,16.7,354.1,Lethargic,No,Subclinical
COW-1031,6,6.39,3.95,2.1,22,10.1,5.0,35.9,12.7,384.9,Unable to stand,No,Mild
COW-1032,4,6.33,4.57,4.5,14,27.7,3.1,21.7,16.0,299.5,Lethargic,No,Mild
COW-1033,5,7.78,6.74,2.5,14,24.2,5.4,30.9,18.3,406.9,Lethargic,No,Subclinical
COW-1034,7,10.07,6.38,3.5,5,33.1,8.8,0.6,20.3,516.3,Unable to stand,No,Normal
COW-1035,4,9.85,4.22,3.4,-1,25.9,7.7,33.7,19.4,453.7,Unable to stand,No,Normal
COW-1036,7,9.49,6.75,4.3,1,37.2,7.7,-3.0,22.6,450.8,Unable to stand,No,Normal
COW-1037,4,8.28,5.66,3.7,15,43.3,5.2,34.0,15.7,419.7,Unable to stand,No,Subclinical
COW-1038,7,5.75,5.37,2.8,10,39.4,3.1,0.3,14.3,269.2,Unable to stand,Yes,Moderate
COW-1039,4,7.38,4.6,3.6,3,15.3,5.2,6.1,16.4,390.8,Reduced movement,No,Subclinical
COW-1040,2,6.37,7.16,3.2,-4,40.0,3.7,27.1,14.8,259.3,Muscle tremors,No,Mild
COW-1041,6,7.42,5.69,4.2,9,27.1,5.8,0.0,19.5,475.4,Muscle tremors,No,Subclinical
COW-1042,6,9.84,7.6,4.9,29,10.9,9.4,6.7,23.1,576.1,Unable to stand,No,Normal
COW-1043,2,6.58,4.9,2.6,15,21.8,3.3,33.4,14.8,257.5,Lethargic,No,Mild
COW-1044,7,6.23,8.0,3.0,-1,37.3,3.2,20.8,12.1,330.9,Normal movement,No,Mild
COW-1045,4,4.67,3.57,4.8,24,34.5,1.4,27.2,5.4,136.8,Reduced movement,Yes,Critical
COW-1046,2,6.7,7.64,3.7,19,23.9,3.3,24.3,13.9,336.8,Normal movement,No,Mild
COW-1047,4,7.14,3.61,5.0,-3,22.2,6.5,8.6,19.3,440.1,Lethargic,No,Subclinical
COW-1048,6,8.53,4.81,4.7,24,34.8,8.3,9.0,21.4,515.0,Unable to stand,No,Normal
