parity,blood_calcium,blood_phosphorus,bcs,days_to_calving,milk_yield_day1,activity_level,dcad,stage
2,8.2,5.5,3.0,5,18.0,62.47,-30.0,Moderate
2,8.2,5.5,3.0,21,18.0,100.0,-30.0,Moderate
2,8.2,5.5,3.0,11,18.0,74.57,-30.0,Moderate
2,8.6,5.5,3.0,3,18.0,78.9,-30.0,Mild
2,8.2,5.5,3.0,18,18.0,70.87,-30.0,Moderate
2,8.6,5.5,3.0,7,18.0,86.03,-30.0,Mild
2,8.2,5.5,3.0,9,18.0,67.6,-30.0,Moderate
2,8.2,5.5,3.0,12,18.0,67.37,-30.0,Moderate
2,8.2,5.5,3.0,20,18.0,100.0,-30.0,Moderate
2,7.4,5.5,3.0,0,18.0,100.0,-30.0,Critical
2,8.2,5.5,3.0,17,18.0,68.87,-30.0,Moderate
2,8.2,5.5,3.0,13,18.0,100.0,-30.0,Moderate
2,8.2,5.5,3.0,2,18.0,61.77,-30.0,Moderate
2,8.2,5.5,3.0,10,18.0,75.63,-30.0,Moderate
2,8.2,5.5,3.0,4,18.0,61.67,-30.0,Moderate
2,8.2,5.5,3.0,16,18.0,70.7,-30.0,Moderate
2,8.2,5.5,3.0,1,18.0,60.77,-30.0,Moderate
2,8.2,5.5,3.0,8,18.0,60.9,-30.0,Moderate
2,8.2,5.5,3.0,6,18.0,80.43,-30.0,Moderate
2,8.2,5.5,3.0,14,18.0,75.63,-30.0,Moderate
2,8.2,5.5,3.0,15,18.0,70.8,-30.0,Moderate
2,8.2,5.5,3.0,19,18.0,94.73,-30.0,Moderate
2,7.4,5.5,3.0,0,18.0,100.0,-30.0,Critical
2,8.2,5.5,3.0,16,32.5,97.49,-30.0,Moderate
2,8.2,5.5,3.0,2,30.83,96.86,-30.0,Moderate
2,8.2,5.5,3.0,4,26.08,96.13,-30.0,Moderate
2,8.2,5.5,3.0,1,36.5,100.0,-30.0,Moderate
2,8.2,5.5,3.0,12,33.33,98.25,-30.0,Moderate
2,8.2,5.5,3.0,17,29.67,93.39,-30.0,Moderate
2,8.2,5.5,3.0,6,22.42,94.47,-30.0,Moderate
2,8.2,5.5,3.0,11,25.83,91.68,-30.0,Moderate
2,8.2,5.5,3.0,7,27.75,96.72,-30.0,Moderate
2,8.2,5.5,3.0,5,24.17,88.76,-30.0,Moderate
2,8.2,5.5,3.0,9,34.58,96.22,-30.0,Moderate
2,8.2,5.5,3.0,15,30.25,100.0,-30.0,Moderate
2,8.2,5.5,3.0,18,32.42,94.03,-30.0,Moderate
2,8.2,5.5,3.0,19,30.08,100.0,-30.0,Moderate
2,8.2,5.5,3.0,13,29.5,97.02,-30.0,Moderate
2,8.2,5.5,3.0,8,29.08,97.54,-30.0,Moderate
2,8.2,5.5,3.0,21,29.75,91.57,-30.0,Moderate
2,8.2,5.5,3.0,14,28.33,98.09,-30.0,Moderate
2,8.2,5.5,3.0,20,32.42,94.47,-30.0,Moderate
2,8.2,5.5,3.0,10,30.25,92.5,-30.0,Moderate
2,8.2,5.5,3.0,3,32.75,100.0,-30.0,Moderate
2,8.6,5.5,3.0,14,21.0,94.67,-30.0,Mild
2,8.6,5.5,3.0,7,27.5,86.38,-30.0,Mild
2,8.6,5.5,3.0,13,25.08,91.26,-30.0,Mild
2,8.6,5.5,3.0,16,24.08,90.68,-30.0,Mild
2,8.6,5.5,3.0,5,24.0,87.78,-30.0,Mild
2,8.6,5.5,3.0,6,27.58,86.7,-30.0,Mild
2,8.6,5.5,3.0,11,28.92,85.99,-30.0,Mild
2,8.6,5.5,3.0,3,28.33,97.27,-30.0,Mild
2,8.6,5.5,3.0,17,21.83,90.7,-30.0,Mild
2,8.6,5.5,3.0,9,29.0,92.56,-30.0,Mild
2,8.6,5.5,3.0,19,28.67,90.34,-30.0,Mild
2,8.2,5.5,3.0,4,21.17,82.27,-30.0,Moderate
2,8.6,5.5,3.0,1,24.67,99.56,-30.0,Mild
2,8.6,5.5,3.0,2,25.42,93.47,-30.0,Mild
2,8.2,5.5,3.0,20,23.92,84.76,-30.0,Moderate
2,8.6,5.5,3.0,21,24.75,93.49,-30.0,Mild
2,8.2,5.5,3.0,8,26.83,88.3,-30.0,Moderate
2,8.6,5.5,3.0,15,25.42,92.26,-30.0,Mild
2,7.8,5.5,3.0,0,18.0,100.0,-30.0,Critical
2,8.6,5.5,3.0,10,26.0,82.89,-30.0,Mild
2,8.6,5.5,3.0,12,30.67,87.98,-30.0,Mild
2,8.6,5.5,3.0,18,27.58,89.28,-30.0,Mild
2,8.6,5.5,3.0,1,30.58,100.0,-30.0,Mild
2,8.6,5.5,3.0,21,31.42,93.82,-30.0,Mild
2,8.2,5.5,3.0,16,27.5,89.58,-30.0,Moderate
2,8.6,5.5,3.0,15,34.75,96.0,-30.0,Mild
2,7.4,5.5,3.0,0,18.0,100.0,-30.0,Critical
2,8.6,5.5,3.0,5,33.92,94.66,-30.0,Mild
2,8.6,5.5,3.0,9,41.0,72.88,-30.0,Mild
2,8.6,5.5,3.0,14,35.67,95.3,-30.0,Mild
2,8.6,5.5,3.0,10,36.5,100.0,-30.0,Mild
2,8.6,5.5,3.0,4,29.75,100.0,-30.0,Mild
2,8.6,5.5,3.0,2,29.58,100.0,-30.0,Mild
2,8.6,5.5,3.0,17,31.25,96.71,-30.0,Mild
2,8.6,5.5,3.0,18,34.25,95.4,-30.0,Mild
2,8.6,5.5,3.0,7,36.83,100.0,-30.0,Mild
2,8.6,5.5,3.0,11,33.25,97.86,-30.0,Mild
2,8.6,5.5,3.0,19,33.17,94.57,-30.0,Mild
2,8.6,5.5,3.0,20,29.25,91.26,-30.0,Mild
2,8.6,5.5,3.0,13,31.0,92.81,-30.0,Mild
2,8.6,5.5,3.0,3,29.0,100.0,-30.0,Mild
2,8.6,5.5,3.0,12,31.58,100.0,-30.0,Mild
2,8.6,5.5,3.0,6,42.5,98.75,-30.0,Mild
2,8.6,5.5,3.0,8,32.92,100.0,-30.0,Mild
1,9.0,5.5,3.0,1,31.17,100.0,-30.0,Subclinical
1,9.0,5.5,3.0,4,42.92,89.48,-30.0,Subclinical
1,9.0,5.5,3.0,2,29.5,100.0,-30.0,Subclinical
1,9.0,5.5,3.0,12,36.5,92.5,-30.0,Subclinical
1,9.0,5.5,3.0,3,39.33,97.08,-30.0,Subclinical
1,9.0,5.5,3.0,13,20.25,77.83,-30.0,Subclinical
1,9.0,5.5,3.0,5,38.58,98.12,-30.0,Subclinical
1,7.8,5.5,3.0,0,18.0,100.0,-30.0,Critical
1,9.0,5.5,3.0,9,44.33,85.42,-30.0,Subclinical
1,9.0,5.5,3.0,11,42.25,80.0,-30.0,Subclinical
1,9.0,5.5,3.0,8,40.25,96.35,-30.0,Subclinical
1,9.0,5.5,3.0,6,46.5,89.06,-30.0,Subclinical
1,9.0,5.5,3.0,7,38.5,90.21,-30.0,Subclinical
1,9.0,5.5,3.0,10,40.67,86.67,-30.0,Subclinical
1,8.6,5.5,3.0,20,33.58,100.0,-30.0,Mild
1,8.6,5.5,3.0,18,30.0,100.0,-30.0,Mild
1,9.0,5.5,3.0,5,46.42,99.93,-30.0,Subclinical
1,8.6,5.5,3.0,16,42.25,97.92,-30.0,Mild
1,9.0,5.5,3.0,1,31.75,100.0,-30.0,Subclinical
1,8.6,5.5,3.0,11,40.42,97.99,-30.0,Mild
1,8.6,5.5,3.0,17,34.75,100.0,-30.0,Mild
1,9.0,5.5,3.0,10,42.08,100.0,-30.0,Subclinical
1,9.0,5.5,3.0,6,41.5,100.0,-30.0,Subclinical
1,8.6,5.5,3.0,8,44.92,100.0,-30.0,Mild
1,9.0,5.5,3.0,4,37.25,100.0,-30.0,Subclinical
1,9.0,5.5,3.0,3,41.83,99.1,-30.0,Subclinical
1,8.6,5.5,3.0,21,37.92,100.0,-30.0,Mild
1,8.6,5.5,3.0,14,33.33,100.0,-30.0,Mild
1,8.6,5.5,3.0,19,39.0,100.0,-30.0,Mild
1,9.0,5.5,3.0,13,29.0,100.0,-30.0,Subclinical
1,8.6,5.5,3.0,9,38.42,100.0,-30.0,Mild
1,9.0,5.5,3.0,7,39.17,100.0,-30.0,Subclinical
1,9.0,5.5,3.0,12,40.58,100.0,-30.0,Subclinical
1,9.0,5.5,3.0,2,41.92,100.0,-30.0,Subclinical
1,8.6,5.5,3.0,15,33.5,100.0,-30.0,Mild
2,8.2,5.5,3.0,5,22.92,97.22,-30.0,Moderate
2,8.6,5.5,3.0,19,24.75,99.14,-30.0,Mild
2,8.2,5.5,3.0,4,30.67,100.0,-30.0,Moderate
2,8.6,5.5,3.0,15,29.67,95.92,-30.0,Mild
2,8.2,5.5,3.0,2,28.17,97.62,-30.0,Moderate
2,8.6,5.5,3.0,10,27.42,98.28,-30.0,Mild
2,8.6,5.5,3.0,12,36.08,100.0,-30.0,Mild
2,8.2,5.5,3.0,1,30.67,97.2,-30.0,Moderate
2,8.6,5.5,3.0,3,33.25,99.17,-30.0,Mild
2,8.2,5.5,3.0,8,30.08,100.0,-30.0,Moderate
2,8.2,5.5,3.0,13,38.5,97.22,-30.0,Moderate
2,8.6,5.5,3.0,14,33.5,98.28,-30.0,Mild
2,8.6,5.5,3.0,21,37.08,99.83,-30.0,Mild
2,8.2,5.5,3.0,9,25.17,97.68,-30.0,Moderate
2,8.6,5.5,3.0,11,27.58,100.0,-30.0,Mild
2,8.6,5.5,3.0,16,26.83,94.26,-30.0,Mild
2,8.2,5.5,3.0,6,27.08,99.11,-30.0,Moderate
2,8.6,5.5,3.0,18,38.08,99.8,-30.0,Mild
2,8.6,5.5,3.0,7,28.42,96.96,-30.0,Mild
2,8.2,5.5,3.0,17,23.75,89.69,-30.0,Moderate
2,8.2,5.5,3.0,20,33.17,92.29,-30.0,Moderate
2,7.4,5.5,3.0,0,18.0,100.0,-30.0,Critical
1,9.0,5.5,3.0,8,29.33,96.25,-30.0,Subclinical
1,9.0,5.5,3.0,19,27.83,88.75,-30.0,Subclinical
1,9.0,5.5,3.0,18,28.5,84.58,-30.0,Subclinical
1,9.0,5.5,3.0,21,31.33,81.98,-30.0,Subclinical
1,9.0,5.5,3.0,2,28.42,82.92,-30.0,Subclinical
1,9.0,5.5,3.0,5,28.67,92.71,-30.0,Subclinical
1,9.0,5.5,3.0,20,33.58,86.88,-30.0,Subclinical
1,9.0,5.5,3.0,11,28.58,86.98,-30.0,Subclinical
1,9.0,5.5,3.0,16,32.0,91.35,-30.0,Subclinical
1,9.0,5.5,3.0,15,24.25,92.04,-30.0,Subclinical
1,9.0,5.5,3.0,13,30.58,87.29,-30.0,Subclinical
1,9.0,5.5,3.0,4,31.0,89.27,-30.0,Subclinical
1,9.0,5.5,3.0,7,32.33,93.44,-30.0,Subclinical
1,9.0,5.5,3.0,14,29.42,80.62,-30.0,Subclinical
1,9.0,5.5,3.0,10,27.0,93.96,-30.0,Subclinical
1,9.0,5.5,3.0,9,36.08,87.08,-30.0,Subclinical
1,9.0,5.5,3.0,1,20.0,74.17,-30.0,Subclinical
1,9.0,5.5,3.0,17,30.83,86.88,-30.0,Subclinical
1,9.0,5.5,3.0,12,30.25,90.42,-30.0,Subclinical
1,9.0,5.5,3.0,6,25.58,92.5,-30.0,Subclinical
1,9.0,5.5,3.0,3,28.17,88.75,-30.0,Subclinical
1,9.0,5.5,3.0,20,14.83,80.82,-30.0,Subclinical
1,7.4,5.5,3.0,19,18.0,0.03,-30.0,Critical
1,9.0,5.5,3.0,21,27.17,100.0,-30.0,Subclinical
1,7.8,5.5,3.0,0,18.0,100.0,-30.0,Critical
2,8.6,5.5,3.0,20,31.75,100.0,-30.0,Mild
2,8.6,5.5,3.0,6,44.92,100.0,-30.0,Mild
2,8.6,5.5,3.0,7,38.92,100.0,-30.0,Mild
2,8.6,5.5,3.0,3,37.67,100.0,-30.0,Mild
2,8.2,5.5,3.0,10,38.42,100.0,-30.0,Moderate
2,8.6,5.5,3.0,17,38.58,100.0,-30.0,Mild
2,7.4,5.5,3.0,0,18.0,100.0,-30.0,Critical
2,8.2,5.5,3.0,5,36.08,100.0,-30.0,Moderate
